 51 SB116         0.0000000000E+00
 51 SB117         0.0000000000E+00
 51 SB118         0.0000000000E+00
 51 SB119         0.0000000000E+00
 51 SB120         0.0000000000E+00
 51 SB121         7.1950200000E-09
 51 SB122         1.7108400000E-15
 51 SB123         1.7417600000E-09
 51 SB124         0.0000000000E+00
 51 SB125         0.0000000000E+00
 51 SB126         0.0000000000E+00
 51 SB127         0.0000000000E+00
 51 SB128         0.0000000000E+00
 51 SB129         0.0000000000E+00
 51 SB130         0.0000000000E+00
 51 SB131         0.0000000000E+00
 51 SB132         0.0000000000E+00
 51 SB133         0.0000000000E+00
 52 TE114         0.0000000000E+00
 52 TE115         0.0000000000E+00
 52 TE116         0.0000000000E+00
 52 TE117         0.0000000000E+00
 52 TE118         0.0000000000E+00
 52 TE119         0.0000000000E+00
 52 TE120         1.0272900000E-13
 52 TE121         1.7296000000E-19
 52 TE122         1.0900200000E-08
 52 TE123         3.7500400000E-09
 52 TE124         2.1468100000E-08
 52 TE125         7.1197400000E-09
 52 TE126         4.0415900000E-08
 52 TE127         2.6180100000E-16
 52 TE128         5.8317100000E-09
 52 TE129         1.7642900000E-18
 52 TE130         3.0250400000E-09
 52 TE131         0.0000000000E+00
 52 TE132         0.0000000000E+00
 52 TE133         0.0000000000E+00
 52 TE134         0.0000000000E+00
 53 I 117         0.0000000000E+00
 53 I 118         0.0000000000E+00
 53 I 119         0.0000000000E+00
 53 I 120         0.0000000000E+00
 53 I 121         0.0000000000E+00
 53 I 122         0.0000000000E+00
 53 I 123         0.0000000000E+00
 53 I 124         0.0000000000E+00
 53 I 125         0.0000000000E+00
 53 I 126         0.0000000000E+00
 53 I 127         5.3772300000E-09
 53 I 128         1.0729900000E-17
 53 I 129         3.7547000000E-13
 53 I 130         0.0000000000E+00
 53 I 131         0.0000000000E+00
 53 I 132         0.0000000000E+00
 53 I 133         0.0000000000E+00
 53 I 134         0.0000000000E+00
 53 I 135         0.0000000000E+00
 54 XE118         0.0000000000E+00
 54 XE119         0.0000000000E+00
 54 XE120         0.0000000000E+00
 54 XE121         0.0000000000E+00
 54 XE122         0.0000000000E+00
 54 XE123         0.0000000000E+00
 54 XE124         1.3073400000E-13
 54 XE125         1.5286900000E-20
 54 XE126         2.2961500000E-13
 54 XE127         5.8858600000E-19
 54 XE128         1.2547500000E-08
 54 XE129         5.5260900000E-09
 54 XE130         2.7003100000E-08
 54 XE131         1.0513600000E-08
 54 XE132         5.5766600000E-08
 54 XE133         0.0000000000E+00
 54 XE134         9.0223100000E-09
 54 XE135         1.1135800000E-17
 54 XE136         1.4505700000E-09
 54 XE137         0.0000000000E+00
 54 XE138         0.0000000000E+00
 55 CS123         0.0000000000E+00
 55 CS124         0.0000000000E+00
 55 CS125         0.0000000000E+00
 55 CS126         0.0000000000E+00
 55 CS127         0.0000000000E+00
 55 CS128         0.0000000000E+00
 55 CS129         0.0000000000E+00
 55 CS130         0.0000000000E+00
 55 CS131         0.0000000000E+00
 55 CS132         0.0000000000E+00
 55 CS133         7.8409200000E-09
 55 CS134         3.9275700000E-13
 55 CS135         6.4024500000E-09
 55 CS136         0.0000000000E+00
 55 CS137         0.0000000000E+00
 55 CS138         0.0000000000E+00
 55 CS139         0.0000000000E+00
 56 BA124         0.0000000000E+00
 56 BA125         0.0000000000E+00
 56 BA126         0.0000000000E+00
 56 BA127         0.0000000000E+00
 56 BA128         0.0000000000E+00
 56 BA129         0.0000000000E+00
 56 BA130         1.0543800000E-13
 56 BA131         1.8296300000E-19
 56 BA132         1.7262000000E-13
 56 BA133         3.4900700000E-19
 56 BA134         1.7361000000E-08
 56 BA135         5.6080100000E-09
 56 BA136         5.3141700000E-08
 56 BA137         4.6595300000E-08
 56 BA138         4.0755100000E-07
 56 BA139         0.0000000000E+00
 56 BA140         0.0000000000E+00
 56 BA141         0.0000000000E+00
 56 BA142         0.0000000000E+00
 57 LA127         0.0000000000E+00
 57 LA128         0.0000000000E+00
 57 LA129         0.0000000000E+00
 57 LA130         0.0000000000E+00
 57 LA131         0.0000000000E+00
 57 LA132         0.0000000000E+00
 57 LA133         0.0000000000E+00
 57 LA134         0.0000000000E+00
 57 LA135         0.0000000000E+00
 57 LA136         0.0000000000E+00
 57 LA137         0.0000000000E+00
 57 LA138         2.7217400000E-14
 57 LA139         4.4457200000E-08
 57 LA140         0.0000000000E+00
 57 LA141         0.0000000000E+00
 57 LA142         0.0000000000E+00
 57 LA143         0.0000000000E+00
 58 CE130         0.0000000000E+00
 58 CE131         0.0000000000E+00
 58 CE132         0.0000000000E+00
 58 CE133         0.0000000000E+00
 58 CE134         0.0000000000E+00
 58 CE135         0.0000000000E+00
 58 CE136         8.4644500000E-14
 58 CE137         2.0984500000E-21
 58 CE138         3.6270900000E-13
 58 CE139         1.7536200000E-18
 58 CE140         9.3594700000E-08
 58 CE141         4.9248200000E-15
 58 CE142         3.8197000000E-09
 58 CE143         0.0000000000E+00
 58 CE144         0.0000000000E+00
 58 CE145         0.0000000000E+00
 58 CE146         0.0000000000E+00
 59 PR133         0.0000000000E+00
 59 PR134         0.0000000000E+00
 59 PR135         0.0000000000E+00
 59 PR136         0.0000000000E+00
 59 PR137         0.0000000000E+00
 59 PR138         0.0000000000E+00
 59 PR139         0.0000000000E+00
 59 PR140         0.0000000000E+00
 59 PR141         9.7859900000E-09
 59 PR142         0.0000000000E+00
 59 PR143         0.0000000000E+00
 59 PR144         0.0000000000E+00
 59 PR145         0.0000000000E+00
 59 PR146         0.0000000000E+00
 59 PR147         0.0000000000E+00
 59 PR148         0.0000000000E+00
 59 PR149         0.0000000000E+00
 60 ND134         0.0000000000E+00
 60 ND135         0.0000000000E+00
 60 ND136         0.0000000000E+00
 60 ND137         0.0000000000E+00
 60 ND138         0.0000000000E+00
 60 ND139         0.0000000000E+00
 60 ND140         0.0000000000E+00
 60 ND141         0.0000000000E+00
 60 ND142         2.1137300000E-08
 60 ND143         3.5872300000E-09
 60 ND144         1.1543200000E-08
 60 ND145         2.1361300000E-09
 60 ND146         9.9314400000E-09
 60 ND147         1.4701900000E-15
 60 ND148         1.5656900000E-09
 60 ND149         3.1383500000E-18
 60 ND150         2.5980200000E-11
 60 ND151         0.0000000000E+00
 60 ND152         0.0000000000E+00
 61 PM137         0.0000000000E+00
 61 PM138         0.0000000000E+00
 61 PM139         0.0000000000E+00
 61 PM140         0.0000000000E+00
 61 PM141         0.0000000000E+00
 61 PM142         0.0000000000E+00
 61 PM143         0.0000000000E+00
 61 PM144         0.0000000000E+00
 61 PM145         0.0000000000E+00
 61 PM146         0.0000000000E+00
 61 PM147         1.1136700000E-13
 61 PM148         0.0000000000E+00
 61 PM149         0.0000000000E+00
 61 PM150         0.0000000000E+00
